icdcode,icdlabel,diagcodelvl1,diagdesclvl1
c8227,follicular lymphoma grade iii unspecified spleen,c82,follicular lymphoma
c8228,follicular lymphoma grade iii unspecified lymph nodes of multiple sites,c82,follicular lymphoma
c8229,follicular lymphoma grade iii unspecified extranodal and solid organ sites,c82,follicular lymphoma
c8230,follicular lymphoma grade iiia unspecified site,c82,follicular lymphoma
c8231,follicular lymphoma grade iiia lymph nodes of head face and neck,c82,follicular lymphoma
c8232,follicular lymphoma grade iiia intrathoracic lymph nodes,c82,follicular lymphoma
c8233,follicular lymphoma grade iiia intraabdominal lymph nodes,c82,follicular lymphoma
c8234,follicular lymphoma grade iiia lymph nodes of axilla and upper limb,c82,follicular lymphoma
c8235,follicular lymphoma grade iiia lymph nodes of inguinal region and lower limb,c82,follicular lymphoma
c8236,follicular lymphoma grade iiia intrapelvic lymph nodes,c82,follicular lymphoma
c8237,follicular lymphoma grade iiia spleen,c82,follicular lymphoma
c8238,follicular lymphoma grade iiia lymph nodes of multiple sites,c82,follicular lymphoma
c8239,follicular lymphoma grade iiia extranodal and solid organ sites,c82,follicular lymphoma
c8240,follicular lymphoma grade iiib unspecified site,c82,follicular lymphoma
c8241,follicular lymphoma grade iiib lymph nodes of head face and neck,c82,follicular lymphoma
c8242,follicular lymphoma grade iiib intrathoracic lymph nodes,c82,follicular lymphoma
c8243,follicular lymphoma grade iiib intraabdominal lymph nodes,c82,follicular lymphoma
c8244,follicular lymphoma grade iiib lymph nodes of axilla and upper limb,c82,follicular lymphoma
c8245,follicular lymphoma grade iiib lymph nodes of inguinal region and lower limb,c82,follicular lymphoma
c8246,follicular lymphoma grade iiib intrapelvic lymph nodes,c82,follicular lymphoma
c8247,follicular lymphoma grade iiib spleen,c82,follicular lymphoma
c8248,follicular lymphoma grade iiib lymph nodes of multiple sites,c82,follicular lymphoma
c8249,follicular lymphoma grade iiib extranodal and solid organ sites,c82,follicular lymphoma
c8250,diffuse follicle center lymphoma unspecified site,c82,follicular lymphoma
c8251,diffuse follicle center lymphoma lymph nodes of head face and neck,c82,follicular lymphoma
c8252,diffuse follicle center lymphoma intrathoracic lymph nodes,c82,follicular lymphoma
c8253,diffuse follicle center lymphoma intraabdominal lymph nodes,c82,follicular lymphoma
c8254,diffuse follicle center lymphoma lymph nodes of axilla and upper limb,c82,follicular lymphoma
c8255,diffuse follicle center lymphoma lymph nodes of inguinal region and lower limb,c82,follicular lymphoma
c8256,diffuse follicle center lymphoma intrapelvic lymph nodes,c82,follicular lymphoma
c8257,diffuse follicle center lymphoma spleen,c82,follicular lymphoma
c8258,diffuse follicle center lymphoma lymph nodes of multiple sites,c82,follicular lymphoma
c8259,diffuse follicle center lymphoma extranodal and solid organ sites,c82,follicular lymphoma
c8260,cutaneous follicle center lymphoma unspecified site,c82,follicular lymphoma
c8261,cutaneous follicle center lymphoma lymph nodes of head face and neck,c82,follicular lymphoma
c8262,cutaneous follicle center lymphoma intrathoracic lymph nodes,c82,follicular lymphoma
c8263,cutaneous follicle center lymphoma intraabdominal lymph nodes,c82,follicular lymphoma
c8264,cutaneous follicle center lymphoma lymph nodes of axilla and upper limb,c82,follicular lymphoma
c8265,cutaneous follicle center lymphoma lymph nodes of inguinal region and lower limb,c82,follicular lymphoma
c8266,cutaneous follicle center lymphoma intrapelvic lymph nodes,c82,follicular lymphoma
c8267,cutaneous follicle center lymphoma spleen,c82,follicular lymphoma
c8268,cutaneous follicle center lymphoma lymph nodes of multiple sites,c82,follicular lymphoma
c8269,cutaneous follicle center lymphoma extranodal and solid organ sites,c82,follicular lymphoma
c8280,other types of follicular lymphoma unspecified site,c82,follicular lymphoma
c8281,other types of follicular lymphoma lymph nodes of head face and neck,c82,follicular lymphoma
c8282,other types of follicular lymphoma intrathoracic lymph nodes,c82,follicular lymphoma
c8283,other types of follicular lymphoma intraabdominal lymph nodes,c82,follicular lymphoma
c8284,other types of follicular lymphoma lymph nodes of axilla and upper limb,c82,follicular lymphoma
c8285,other types of follicular lymphoma lymph nodes of inguinal region and lower limb,c82,follicular lymphoma
c8286,other types of follicular lymphoma intrapelvic lymph nodes,c82,follicular lymphoma
c8287,other types of follicular lymphoma spleen,c82,follicular lymphoma
c8288,other types of follicular lymphoma lymph nodes of multiple sites,c82,follicular lymphoma
c8289,other types of follicular lymphoma extranodal and solid organ sites,c82,follicular lymphoma
c8290,follicular lymphoma unspecified unspecified site,c82,follicular lymphoma
c8291,follicular lymphoma unspecified lymph nodes of head face and neck,c82,follicular lymphoma
c8292,follicular lymphoma unspecified intrathoracic lymph nodes,c82,follicular lymphoma
c8293,follicular lymphoma unspecified intraabdominal lymph nodes,c82,follicular lymphoma
c8294,follicular lymphoma unspecified lymph nodes of axilla and upper limb,c82,follicular lymphoma
c8295,follicular lymphoma unspecified lymph nodes of inguinal region and lower limb,c82,follicular lymphoma
c8296,follicular lymphoma unspecified intrapelvic lymph nodes,c82,follicular lymphoma
c8297,follicular lymphoma unspecified spleen,c82,follicular lymphoma
c8298,follicular lymphoma unspecified lymph nodes of multiple sites,c82,follicular lymphoma
c8299,follicular lymphoma unspecified extranodal and solid organ sites,c82,follicular lymphoma
c8300,small cell bcell lymphoma unspecified site,c83,nonfollicular lymphoma
c8301,small cell bcell lymphoma lymph nodes of head face and neck,c83,nonfollicular lymphoma
c8302,small cell bcell lymphoma intrathoracic lymph nodes,c83,nonfollicular lymphoma
c8303,small cell bcell lymphoma intraabdominal lymph nodes,c83,nonfollicular lymphoma
c8304,small cell bcell lymphoma lymph nodes of axilla and upper limb,c83,nonfollicular lymphoma
c8305,small cell bcell lymphoma lymph nodes of inguinal region and lower limb,c83,nonfollicular lymphoma
c8306,small cell bcell lymphoma intrapelvic lymph nodes,c83,nonfollicular lymphoma
c8307,small cell bcell lymphoma spleen,c83,nonfollicular lymphoma
c8308,small cell bcell lymphoma lymph nodes of multiple sites,c83,nonfollicular lymphoma
c8309,small cell bcell lymphoma extranodal and solid organ sites,c83,nonfollicular lymphoma
c8310,mantle cell lymphoma unspecified site,c83,nonfollicular lymphoma
c8311,mantle cell lymphoma lymph nodes of head face and neck,c83,nonfollicular lymphoma
c8312,mantle cell lymphoma intrathoracic lymph nodes,c83,nonfollicular lymphoma
c8313,mantle cell lymphoma intraabdominal lymph nodes,c83,nonfollicular lymphoma
c8314,mantle cell lymphoma lymph nodes of axilla and upper limb,c83,nonfollicular lymphoma
c8315,mantle cell lymphoma lymph nodes of inguinal region and lower limb,c83,nonfollicular lymphoma
c8316,mantle cell lymphoma intrapelvic lymph nodes,c83,nonfollicular lymphoma
c8317,mantle cell lymphoma spleen,c83,nonfollicular lymphoma
c8318,mantle cell lymphoma lymph nodes of multiple sites,c83,nonfollicular lymphoma
c8319,mantle cell lymphoma extranodal and solid organ sites,c83,nonfollicular lymphoma
c8330,diffuse large bcell lymphoma unspecified site,c83,nonfollicular lymphoma
c8331,diffuse large bcell lymphoma lymph nodes of head face and neck,c83,nonfollicular lymphoma
c8332,diffuse large bcell lymphoma intrathoracic lymph nodes,c83,nonfollicular lymphoma
c8333,diffuse large bcell lymphoma intraabdominal lymph nodes,c83,nonfollicular lymphoma
c8334,diffuse large bcell lymphoma lymph nodes of axilla and upper limb,c83,nonfollicular lymphoma
c8335,diffuse large bcell lymphoma lymph nodes of inguinal region and lower limb,c83,nonfollicular lymphoma
c8336,diffuse large bcell lymphoma intrapelvic lymph nodes,c83,nonfollicular lymphoma
c8337,diffuse large bcell lymphoma spleen,c83,nonfollicular lymphoma
c8338,diffuse large bcell lymphoma lymph nodes of multiple sites,c83,nonfollicular lymphoma
c8339,diffuse large bcell lymphoma extranodal and solid organ sites,c83,nonfollicular lymphoma
c8350,lymphoblastic diffuse lymphoma unspecified site,c83,nonfollicular lymphoma
c8351,lymphoblastic diffuse lymphoma lymph nodes of head face and neck,c83,nonfollicular lymphoma
c8352,lymphoblastic diffuse lymphoma intrathoracic lymph nodes,c83,nonfollicular lymphoma
c8353,lymphoblastic diffuse lymphoma intraabdominal lymph nodes,c83,nonfollicular lymphoma
c8354,lymphoblastic diffuse lymphoma lymph nodes of axilla and upper limb,c83,nonfollicular lymphoma
c8355,lymphoblastic diffuse lymphoma lymph nodes of inguinal region and lower limb,c83,nonfollicular lymphoma
c8356,lymphoblastic diffuse lymphoma intrapelvic lymph nodes,c83,nonfollicular lymphoma
c8357,lymphoblastic diffuse lymphoma spleen,c83,nonfollicular lymphoma
c8358,lymphoblastic diffuse lymphoma lymph nodes of multiple sites,c83,nonfollicular lymphoma
c8359,lymphoblastic diffuse lymphoma extranodal and solid organ sites,c83,nonfollicular lymphoma
c8370,burkitt lymphoma unspecified site,c83,nonfollicular lymphoma
c8371,burkitt lymphoma lymph nodes of head face and neck,c83,nonfollicular lymphoma
c8372,burkitt lymphoma intrathoracic lymph nodes,c83,nonfollicular lymphoma
c8373,burkitt lymphoma intraabdominal lymph nodes,c83,nonfollicular lymphoma
c8374,burkitt lymphoma lymph nodes of axilla and upper limb,c83,nonfollicular lymphoma
c8375,burkitt lymphoma lymph nodes of inguinal region and lower limb,c83,nonfollicular lymphoma
c8376,burkitt lymphoma intrapelvic lymph nodes,c83,nonfollicular lymphoma
c8377,burkitt lymphoma spleen,c83,nonfollicular lymphoma
c8378,burkitt lymphoma lymph nodes of multiple sites,c83,nonfollicular lymphoma
c8379,burkitt lymphoma extranodal and solid organ sites,c83,nonfollicular lymphoma
c8380,other nonfollicular lymphoma unspecified site,c83,nonfollicular lymphoma
c8381,other nonfollicular lymphoma lymph nodes of head face and neck,c83,nonfollicular lymphoma
c8382,other nonfollicular lymphoma intrathoracic lymph nodes,c83,nonfollicular lymphoma
c8383,other nonfollicular lymphoma intraabdominal lymph nodes,c83,nonfollicular lymphoma
c8384,other nonfollicular lymphoma lymph nodes of axilla and upper limb,c83,nonfollicular lymphoma
c8385,other nonfollicular lymphoma lymph nodes of inguinal region and lower limb,c83,nonfollicular lymphoma
c8386,other nonfollicular lymphoma intrapelvic lymph nodes,c83,nonfollicular lymphoma
c8387,other nonfollicular lymphoma spleen,c83,nonfollicular lymphoma
c8388,other nonfollicular lymphoma lymph nodes of multiple sites,c83,nonfollicular lymphoma
c8389,other nonfollicular lymphoma extranodal and solid organ sites,c83,nonfollicular lymphoma
c8390,nonfollicular diffuse lymphoma unspecified unspecified site,c83,nonfollicular lymphoma
c8391,nonfollicular diffuse lymphoma unspecified lymph nodes of head face and neck,c83,nonfollicular lymphoma
c8392,nonfollicular diffuse lymphoma unspecified intrathoracic lymph nodes,c83,nonfollicular lymphoma
c8393,nonfollicular diffuse lymphoma unspecified intraabdominal lymph nodes,c83,nonfollicular lymphoma
c8394,nonfollicular diffuse lymphoma unspecified lymph nodes of axilla and upper limb,c83,nonfollicular lymphoma
c8395,nonfollicular diffuse lymphoma unspecified lymph nodes of inguinal region and lower limb,c83,nonfollicular lymphoma
c8396,nonfollicular diffuse lymphoma unspecified intrapelvic lymph nodes,c83,nonfollicular lymphoma
c8397,nonfollicular diffuse lymphoma unspecified spleen,c83,nonfollicular lymphoma
c8398,nonfollicular diffuse lymphoma unspecified lymph nodes of multiple sites,c83,nonfollicular lymphoma
c8399,nonfollicular diffuse lymphoma unspecified extranodal and solid organ sites,c83,nonfollicular lymphoma
c8400,mycosis fungoides unspecified site,c84,mature tnkcell lymphomas
c8401,mycosis fungoides lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c8402,mycosis fungoides intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c8403,mycosis fungoides intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c8404,mycosis fungoides lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c8405,mycosis fungoides lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c8406,mycosis fungoides intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c8407,mycosis fungoides spleen,c84,mature tnkcell lymphomas
c8408,mycosis fungoides lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c8409,mycosis fungoides extranodal and solid organ sites,c84,mature tnkcell lymphomas
c8410,sezary disease unspecified site,c84,mature tnkcell lymphomas
c8411,sezary disease lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c8412,sezary disease intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c8413,sezary disease intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c8414,sezary disease lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c8415,sezary disease lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c8416,sezary disease intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c8417,sezary disease spleen,c84,mature tnkcell lymphomas
c8418,sezary disease lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c8419,sezary disease extranodal and solid organ sites,c84,mature tnkcell lymphomas
c8440,peripheral tcell lymphoma not elsewhere classified unspecified site,c84,mature tnkcell lymphomas
c8441,peripheral tcell lymphoma not elsewhere classified lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c8442,peripheral tcell lymphoma not elsewhere classified intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c8443,peripheral tcell lymphoma not elsewhere classified intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c8444,peripheral tcell lymphoma not elsewhere classified lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c8445,peripheral tcell lymphoma not elsewhere classified lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c8446,peripheral tcell lymphoma not elsewhere classified intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c8447,peripheral tcell lymphoma not elsewhere classified spleen,c84,mature tnkcell lymphomas
c8448,peripheral tcell lymphoma not elsewhere classified lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c8449,peripheral tcell lymphoma not elsewhere classified extranodal and solid organ sites,c84,mature tnkcell lymphomas
c8460,anaplastic large cell lymphoma alkpositive unspecified site,c84,mature tnkcell lymphomas
c8461,anaplastic large cell lymphoma alkpositive lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c8462,anaplastic large cell lymphoma alkpositive intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c8463,anaplastic large cell lymphoma alkpositive intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c8464,anaplastic large cell lymphoma alkpositive lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c8465,anaplastic large cell lymphoma alkpositive lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c8466,anaplastic large cell lymphoma alkpositive intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c8467,anaplastic large cell lymphoma alkpositive spleen,c84,mature tnkcell lymphomas
c8468,anaplastic large cell lymphoma alkpositive lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c8469,anaplastic large cell lymphoma alkpositive extranodal and solid organ sites,c84,mature tnkcell lymphomas
c8470,anaplastic large cell lymphoma alknegative unspecified site,c84,mature tnkcell lymphomas
c8471,anaplastic large cell lymphoma alknegative lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c8472,anaplastic large cell lymphoma alknegative intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c8473,anaplastic large cell lymphoma alknegative intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c8474,anaplastic large cell lymphoma alknegative lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c8475,anaplastic large cell lymphoma alknegative lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c8476,anaplastic large cell lymphoma alknegative intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c8477,anaplastic large cell lymphoma alknegative spleen,c84,mature tnkcell lymphomas
c8478,anaplastic large cell lymphoma alknegative lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c8479,anaplastic large cell lymphoma alknegative extranodal and solid organ sites,c84,mature tnkcell lymphomas
c847a,anaplastic large cell lymphoma alknegative breast,c84,mature tnkcell lymphomas
c8490,mature tnkcell lymphomas unspecified unspecified site,c84,mature tnkcell lymphomas
c8491,mature tnkcell lymphomas unspecified lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c8492,mature tnkcell lymphomas unspecified intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c8493,mature tnkcell lymphomas unspecified intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c8494,mature tnkcell lymphomas unspecified lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c8495,mature tnkcell lymphomas unspecified lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c8496,mature tnkcell lymphomas unspecified intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c8497,mature tnkcell lymphomas unspecified spleen,c84,mature tnkcell lymphomas
c8498,mature tnkcell lymphomas unspecified lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c8499,mature tnkcell lymphomas unspecified extranodal and solid organ sites,c84,mature tnkcell lymphomas
c84a0,cutaneous tcell lymphoma unspecified unspecified site,c84,mature tnkcell lymphomas
c84a1,cutaneous tcell lymphoma unspecified lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c84a2,cutaneous tcell lymphoma unspecified intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c84a3,cutaneous tcell lymphoma unspecified intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c84a4,cutaneous tcell lymphoma unspecified lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c84a5,cutaneous tcell lymphoma unspecified lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c84a6,cutaneous tcell lymphoma unspecified intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c84a7,cutaneous tcell lymphoma unspecified spleen,c84,mature tnkcell lymphomas
c84a8,cutaneous tcell lymphoma unspecified lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c84a9,cutaneous tcell lymphoma unspecified extranodal and solid organ sites,c84,mature tnkcell lymphomas
c84z0,other mature tnkcell lymphomas unspecified site,c84,mature tnkcell lymphomas
c84z1,other mature tnkcell lymphomas lymph nodes of head face and neck,c84,mature tnkcell lymphomas
c84z2,other mature tnkcell lymphomas intrathoracic lymph nodes,c84,mature tnkcell lymphomas
c84z3,other mature tnkcell lymphomas intraabdominal lymph nodes,c84,mature tnkcell lymphomas
c84z4,other mature tnkcell lymphomas lymph nodes of axilla and upper limb,c84,mature tnkcell lymphomas
c84z5,other mature tnkcell lymphomas lymph nodes of inguinal region and lower limb,c84,mature tnkcell lymphomas
c84z6,other mature tnkcell lymphomas intrapelvic lymph nodes,c84,mature tnkcell lymphomas
c84z7,other mature tnkcell lymphomas spleen,c84,mature tnkcell lymphomas
c84z8,other mature tnkcell lymphomas lymph nodes of multiple sites,c84,mature tnkcell lymphomas
c84z9,other mature tnkcell lymphomas extranodal and solid organ sites,c84,mature tnkcell lymphomas
c8510,unspecified bcell lymphoma unspecified site,c85,other specified and unspecified types of nonhodgkin lymphoma
c8511,unspecified bcell lymphoma lymph nodes of head face and neck,c85,other specified and unspecified types of nonhodgkin lymphoma
c8512,unspecified bcell lymphoma intrathoracic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8513,unspecified bcell lymphoma intraabdominal lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8514,unspecified bcell lymphoma lymph nodes of axilla and upper limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8515,unspecified bcell lymphoma lymph nodes of inguinal region and lower limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8516,unspecified bcell lymphoma intrapelvic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8517,unspecified bcell lymphoma spleen,c85,other specified and unspecified types of nonhodgkin lymphoma
c8518,unspecified bcell lymphoma lymph nodes of multiple sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c8519,unspecified bcell lymphoma extranodal and solid organ sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c8520,mediastinal thymic large bcell lymphoma unspecified site,c85,other specified and unspecified types of nonhodgkin lymphoma
c8521,mediastinal thymic large bcell lymphoma lymph nodes of head face and neck,c85,other specified and unspecified types of nonhodgkin lymphoma
c8522,mediastinal thymic large bcell lymphoma intrathoracic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8523,mediastinal thymic large bcell lymphoma intraabdominal lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8524,mediastinal thymic large bcell lymphoma lymph nodes of axilla and upper limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8525,mediastinal thymic large bcell lymphoma lymph nodes of inguinal region and lower limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8526,mediastinal thymic large bcell lymphoma intrapelvic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8527,mediastinal thymic large bcell lymphoma spleen,c85,other specified and unspecified types of nonhodgkin lymphoma
c8528,mediastinal thymic large bcell lymphoma lymph nodes of multiple sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c8529,mediastinal thymic large bcell lymphoma extranodal and solid organ sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c8580,other specified types of nonhodgkin lymphoma unspecified site,c85,other specified and unspecified types of nonhodgkin lymphoma
c8581,other specified types of nonhodgkin lymphoma lymph nodes of head face and neck,c85,other specified and unspecified types of nonhodgkin lymphoma
c8582,other specified types of nonhodgkin lymphoma intrathoracic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8583,other specified types of nonhodgkin lymphoma intraabdominal lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8584,other specified types of nonhodgkin lymphoma lymph nodes of axilla and upper limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8585,other specified types of nonhodgkin lymphoma lymph nodes of inguinal region and lower limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8586,other specified types of nonhodgkin lymphoma intrapelvic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8587,other specified types of nonhodgkin lymphoma spleen,c85,other specified and unspecified types of nonhodgkin lymphoma
c8588,other specified types of nonhodgkin lymphoma lymph nodes of multiple sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c8589,other specified types of nonhodgkin lymphoma extranodal and solid organ sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c8590,nonhodgkin lymphoma unspecified unspecified site,c85,other specified and unspecified types of nonhodgkin lymphoma
c8591,nonhodgkin lymphoma unspecified lymph nodes of head face and neck,c85,other specified and unspecified types of nonhodgkin lymphoma
c8592,nonhodgkin lymphoma unspecified intrathoracic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8593,nonhodgkin lymphoma unspecified intraabdominal lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8594,nonhodgkin lymphoma unspecified lymph nodes of axilla and upper limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8595,nonhodgkin lymphoma unspecified lymph nodes of inguinal region and lower limb,c85,other specified and unspecified types of nonhodgkin lymphoma
c8596,nonhodgkin lymphoma unspecified intrapelvic lymph nodes,c85,other specified and unspecified types of nonhodgkin lymphoma
c8597,nonhodgkin lymphoma unspecified spleen,c85,other specified and unspecified types of nonhodgkin lymphoma
c8598,nonhodgkin lymphoma unspecified lymph nodes of multiple sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c8599,nonhodgkin lymphoma unspecified extranodal and solid organ sites,c85,other specified and unspecified types of nonhodgkin lymphoma
c860,extranodal nktcell lymphoma nasal type,c86,other specified types of tnkcell lymphoma
c861,hepatosplenic tcell lymphoma,c86,other specified types of tnkcell lymphoma
c862,enteropathytype intestinal tcell lymphoma,c86,other specified types of tnkcell lymphoma
c863,subcutaneous panniculitislike tcell lymphoma,c86,other specified types of tnkcell lymphoma
c864,blastic nkcell lymphoma,c86,other specified types of tnkcell lymphoma
c865,angioimmunoblastic tcell lymphoma,c86,other specified types of tnkcell lymphoma
c866,primary cutaneous cd30positive tcell proliferations,c86,other specified types of tnkcell lymphoma
c880,waldenstrom macroglobulinemia,c88,malignant immunoproliferative diseases and certain other bcell lymphomas
c882,heavy chain disease,c88,malignant immunoproliferative diseases and certain other bcell lymphomas
c883,immunoproliferative small intestinal disease,c88,malignant immunoproliferative diseases and certain other bcell lymphomas
c884,extranodal marginal zone bcell lymphoma of mucosaassociated lymphoid tissue maltlymphoma,c88,malignant immunoproliferative diseases and certain other bcell lymphomas
c888,other malignant immunoproliferative diseases,c88,malignant immunoproliferative diseases and certain other bcell lymphomas
c889,malignant immunoproliferative disease unspecified,c88,malignant immunoproliferative diseases and certain other bcell lymphomas
c9000,multiple myeloma not having achieved remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9001,multiple myeloma in remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9002,multiple myeloma in relapse,c90,multiple myeloma and malignant plasma cell neoplasms
c9010,plasma cell leukemia not having achieved remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9011,plasma cell leukemia in remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9012,plasma cell leukemia in relapse,c90,multiple myeloma and malignant plasma cell neoplasms
c9020,extramedullary plasmacytoma not having achieved remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9021,extramedullary plasmacytoma in remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9022,extramedullary plasmacytoma in relapse,c90,multiple myeloma and malignant plasma cell neoplasms
c9030,solitary plasmacytoma not having achieved remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9031,solitary plasmacytoma in remission,c90,multiple myeloma and malignant plasma cell neoplasms
c9032,solitary plasmacytoma in relapse,c90,multiple myeloma and malignant plasma cell neoplasms
c9100,acute lymphoblastic leukemia not having achieved remission,c91,lymphoid leukemia
c9100,acute lymphoblastic leukemia not having achieved remission,c91,lymphoid leukemia
c9101,acute lymphoblastic leukemia in remission,c91,lymphoid leukemia
c9101,acute lymphoblastic leukemia in remission,c91,lymphoid leukemia
c9102,acute lymphoblastic leukemia in relapse,c91,lymphoid leukemia
c9102,acute lymphoblastic leukemia in relapse,c91,lymphoid leukemia
c9110,chronic lymphocytic leukemia of bcell type not having achieved remission,c91,lymphoid leukemia
c9111,chronic lymphocytic leukemia of bcell type in remission,c91,lymphoid leukemia
c9112,chronic lymphocytic leukemia of bcell type in relapse,c91,lymphoid leukemia
c9130,prolymphocytic leukemia of bcell type not having achieved remission,c91,lymphoid leukemia
c9131,prolymphocytic leukemia of bcell type in remission,c91,lymphoid leukemia
c9132,prolymphocytic leukemia of bcell type in relapse,c91,lymphoid leukemia
c9140,hairy cell leukemia not having achieved remission,c91,lymphoid leukemia
c9141,hairy cell leukemia in remission,c91,lymphoid leukemia
c9142,hairy cell leukemia in relapse,c91,lymphoid leukemia
c9150,adult tcell lymphomaleukemia htlv1associated not having achieved remission,c91,lymphoid leukemia
c9151,adult tcell lymphomaleukemia htlv1associated in remission,c91,lymphoid leukemia
c9152,adult tcell lymphomaleukemia htlv1associated in relapse,c91,lymphoid leukemia
c9160,prolymphocytic leukemia of tcell type not having achieved remission,c91,lymphoid leukemia
c9161,prolymphocytic leukemia of tcell type in remission,c91,lymphoid leukemia
c9162,prolymphocytic leukemia of tcell type in relapse,c91,lymphoid leukemia
c9190,lymphoid leukemia unspecified not having achieved remission,c91,lymphoid leukemia
c9191,lymphoid leukemia unspecified in remission,c91,lymphoid leukemia
c9192,lymphoid leukemia unspecified in relapse,c91,lymphoid leukemia
c91a0,mature bcell leukemia burkitttype not having achieved remission,c91,lymphoid leukemia
c91a1,mature bcell leukemia burkitttype in remission,c91,lymphoid leukemia
c91a2,mature bcell leukemia burkitttype in relapse,c91,lymphoid leukemia
c91z0,other lymphoid leukemia not having achieved remission,c91,lymphoid leukemia
c91z1,other lymphoid leukemia in remission,c91,lymphoid leukemia
c91z2,other lymphoid leukemia in relapse,c91,lymphoid leukemia
