obs,icdcode,icdlabel,cc,addcc
2524,F15120,"Other stimulant abuse with intoxication, uncomplicated",82,
2525,F15121,Other stimulant abuse with intoxication delirium,82,
2526,F15122,Other stimulant abuse with intoxication with perceptual disturbance,82,
2527,F15129,"Other stimulant abuse with intoxication, unspecified",82,
2528,F1513,Other stimulant abuse with withdrawal,82,
2529,F1514,Other stimulant abuse with stimulant-induced mood disorder,82,
2530,F15150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions,81,
2531,F15151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations,81,
2532,F15159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified",81,
2533,F15180,Other stimulant abuse with stimulant-induced anxiety disorder,82,
2534,F15181,Other stimulant abuse with stimulant-induced sexual dysfunction,82,
2535,F15182,Other stimulant abuse with stimulant-induced sleep disorder,82,
2536,F15188,Other stimulant abuse with other stimulant-induced disorder,82,
2537,F1519,Other stimulant abuse with unspecified stimulant-induced disorder,82,
2538,F1520,"Other stimulant dependence, uncomplicated",82,
2539,F1521,"Other stimulant dependence, in remission",82,
2540,F15220,"Other stimulant dependence with intoxication, uncomplicated",82,
2541,F15221,Other stimulant dependence with intoxication delirium,82,
2542,F15222,Other stimulant dependence with intoxication with perceptual disturbance,82,
2543,F15229,"Other stimulant dependence with intoxication, unspecified",82,
2544,F1523,Other stimulant dependence with withdrawal,82,
2545,F1524,Other stimulant dependence with stimulant-induced mood disorder,82,
2546,F15250,Other stimulant dependence with stimulant-induced psychotic disorder with delusions,81,
2547,F15251,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations,81,
2548,F15259,"Other stimulant dependence with stimulant-induced psychotic disorder, unspecified",81,
2549,F15280,Other stimulant dependence with stimulant-induced anxiety disorder,82,
2550,F15281,Other stimulant dependence with stimulant-induced sexual dysfunction,82,
2551,F15282,Other stimulant dependence with stimulant-induced sleep disorder,82,
2552,F15288,Other stimulant dependence with other stimulant-induced disorder,82,
2553,F1529,Other stimulant dependence with unspecified stimulant-induced disorder,82,
2554,F15920,"Other stimulant use, unspecified with intoxication, uncomplicated",82,
2555,F15921,"Other stimulant use, unspecified with intoxication delirium",82,
2556,F15922,"Other stimulant use, unspecified with intoxication with perceptual disturbance",82,
2557,F15929,"Other stimulant use, unspecified with intoxication, unspecified",82,
2558,F1593,"Other stimulant use, unspecified with withdrawal",82,
2559,F1594,"Other stimulant use, unspecified with stimulant-induced mood disorder",82,
2560,F15950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions",81,
2561,F15951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations",81,
2562,F15959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified",81,
2563,F15980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder",82,
2564,F15981,"Other stimulant use, unspecified with stimulant-induced sexual dysfunction",82,
2565,F15982,"Other stimulant use, unspecified with stimulant-induced sleep disorder",82,
2566,F15988,"Other stimulant use, unspecified with other stimulant-induced disorder",82,
2567,F1599,"Other stimulant use, unspecified with unspecified stimulant-induced disorder",82,
2568,F16120,"Hallucinogen abuse with intoxication, uncomplicated",82,
2569,F16121,Hallucinogen abuse with intoxication with delirium,82,
2570,F16122,Hallucinogen abuse with intoxication with perceptual disturbance,82,
2571,F16129,"Hallucinogen abuse with intoxication, unspecified",82,
2572,F1614,Hallucinogen abuse with hallucinogen-induced mood disorder,82,
2573,F16150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions,81,
2574,F16151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations,81,
2575,F16159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified",81,
2576,F16180,Hallucinogen abuse with hallucinogen-induced anxiety disorder,82,
2577,F16183,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks),82,
2578,F16188,Hallucinogen abuse with other hallucinogen-induced disorder,82,
2579,F1619,Hallucinogen abuse with unspecified hallucinogen-induced disorder,82,
2580,F1620,"Hallucinogen dependence, uncomplicated",82,
2581,F1621,"Hallucinogen dependence, in remission",82,
2582,F16220,"Hallucinogen dependence with intoxication, uncomplicated",82,
2583,F16221,Hallucinogen dependence with intoxication with delirium,82,
2584,F16229,"Hallucinogen dependence with intoxication, unspecified",82,
2585,F1624,Hallucinogen dependence with hallucinogen-induced mood disorder,82,
2586,F16250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions,81,
2587,F16251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations,81,
2588,F16259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified",81,
2589,F16280,Hallucinogen dependence with hallucinogen-induced anxiety disorder,82,
2590,F16283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks),82,
2591,F16288,Hallucinogen dependence with other hallucinogen-induced disorder,82,
2592,F1629,Hallucinogen dependence with unspecified hallucinogen-induced disorder,82,
2593,F16920,"Hallucinogen use, unspecified with intoxication, uncomplicated",82,
2594,F16921,"Hallucinogen use, unspecified with intoxication with delirium",82,
2595,F16929,"Hallucinogen use, unspecified with intoxication, unspecified",82,
2596,F1694,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder",82,
2597,F16950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions",81,
2598,F16951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations",81,
2599,F16959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified",81,
2600,F16980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder",82,
2601,F16983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)",82,
2602,F16988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder",82,
2603,F1699,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder",82,
2604,F18120,"Inhalant abuse with intoxication, uncomplicated",82,
2605,F18121,Inhalant abuse with intoxication delirium,82,
2606,F18129,"Inhalant abuse with intoxication, unspecified",82,
2607,F1814,Inhalant abuse with inhalant-induced mood disorder,82,
2608,F18150,Inhalant abuse with inhalant-induced psychotic disorder with delusions,81,
2609,F18151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations,81,
2610,F18159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified",81,
2611,F1817,Inhalant abuse with inhalant-induced dementia,81,
2612,F18180,Inhalant abuse with inhalant-induced anxiety disorder,82,
2613,F18188,Inhalant abuse with other inhalant-induced disorder,82,
2614,F1819,Inhalant abuse with unspecified inhalant-induced disorder,82,
2615,F1820,"Inhalant dependence, uncomplicated",82,
2616,F1821,"Inhalant dependence, in remission",82,
2617,F18220,"Inhalant dependence with intoxication, uncomplicated",82,
2618,F18221,Inhalant dependence with intoxication delirium,82,
2619,F18229,"Inhalant dependence with intoxication, unspecified",82,
2620,F1824,Inhalant dependence with inhalant-induced mood disorder,82,
2621,F18250,Inhalant dependence with inhalant-induced psychotic disorder with delusions,81,
2622,F18251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations,81,
2623,F18259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified",81,
2624,F1827,Inhalant dependence with inhalant-induced dementia,81,
2625,F18280,Inhalant dependence with inhalant-induced anxiety disorder,82,
2626,F18288,Inhalant dependence with other inhalant-induced disorder,82,
2627,F1829,Inhalant dependence with unspecified inhalant-induced disorder,82,
2628,F18920,"Inhalant use, unspecified with intoxication, uncomplicated",82,
2629,F18921,"Inhalant use, unspecified with intoxication with delirium",82,
2630,F18929,"Inhalant use, unspecified with intoxication, unspecified",82,
2631,F1894,"Inhalant use, unspecified with inhalant-induced mood disorder",82,
2632,F18950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions",81,
2633,F18951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations",81,
2634,F18959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified",81,
2635,F1897,"Inhalant use, unspecified with inhalant-induced persisting dementia",81,
2636,F18980,"Inhalant use, unspecified with inhalant-induced anxiety disorder",82,
2637,F18988,"Inhalant use, unspecified with other inhalant-induced disorder",82,
2638,F1899,"Inhalant use, unspecified with unspecified inhalant-induced disorder",82,
2639,F19120,"Other psychoactive substance abuse with intoxication, uncomplicated",82,
2640,F19121,Other psychoactive substance abuse with intoxication delirium,82,
2641,F19122,Other psychoactive substance abuse with intoxication with perceptual disturbances,82,
2642,F19129,"Other psychoactive substance abuse with intoxication, unspecified",82,
2643,F19130,"Other psychoactive substance abuse with withdrawal, uncomplicated",82,
2644,F19131,Other psychoactive substance abuse with withdrawal delirium,81,
2645,F19132,Other psychoactive substance abuse with withdrawal with perceptual disturbance,81,
2646,F19139,"Other psychoactive substance abuse with withdrawal, unspecified",82,
2647,F1914,Other psychoactive substance abuse with psychoactive substance-induced mood disorder,82,
2648,F19150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions,81,
2649,F19151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations,81,
2650,F19159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified",81,
2651,F1916,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder,81,
2652,F1917,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,81,
2653,F19180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder,82,
2654,F19181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction,82,
2655,F19182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder,82,
2656,F19188,Other psychoactive substance abuse with other psychoactive substance-induced disorder,82,
2657,F1919,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder,82,
2658,F1920,"Other psychoactive substance dependence, uncomplicated",82,
2659,F1921,"Other psychoactive substance dependence, in remission",82,
2660,F19220,"Other psychoactive substance dependence with intoxication, uncomplicated",82,
2661,F19221,Other psychoactive substance dependence with intoxication delirium,82,
2662,F19222,Other psychoactive substance dependence with intoxication with perceptual disturbance,82,
2663,F19229,"Other psychoactive substance dependence with intoxication, unspecified",82,
2664,F19230,"Other psychoactive substance dependence with withdrawal, uncomplicated",82,
2665,F19231,Other psychoactive substance dependence with withdrawal delirium,81,
2666,F19232,Other psychoactive substance dependence with withdrawal with perceptual disturbance,81,
2667,F19239,"Other psychoactive substance dependence with withdrawal, unspecified",82,
2668,F1924,Other psychoactive substance dependence with psychoactive substance-induced mood disorder,82,
2669,F19250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions,81,
2670,F19251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations,81,
2671,F19259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified",81,
2672,F1926,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder,81,
2673,F1927,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia,81,
2674,F19280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder,82,
2675,F19281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction,82,
2676,F19282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder,82,
2677,F19288,Other psychoactive substance dependence with other psychoactive substance-induced disorder,82,
2678,F1929,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder,82,
2679,F19920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated",82,
2680,F19921,"Other psychoactive substance use, unspecified with intoxication with delirium",82,
2681,F19922,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance",82,
2682,F19929,"Other psychoactive substance use, unspecified with intoxication, unspecified",82,
2683,F19930,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated",82,
2684,F19931,"Other psychoactive substance use, unspecified with withdrawal delirium",81,
2685,F19932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance",81,
2686,F19939,"Other psychoactive substance use, unspecified with withdrawal, unspecified",82,
2687,F1994,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder",82,
2688,F19950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions",81,
2689,F19951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations",81,
2690,F19959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified",81,
2691,F1996,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder",81,
2692,F1997,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia",81,
2693,F19980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder",82,
2694,F19981,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction",82,
2695,F19982,"Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder",82,
2696,F19988,"Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder",82,
2697,F1999,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder",82,
2698,F200,Paranoid schizophrenia,87_1,
2699,F201,Disorganized schizophrenia,87_1,
2700,F202,Catatonic schizophrenia,87_1,
2701,F203,Undifferentiated schizophrenia,87_1,
2702,F205,Residual schizophrenia,87_1,
2703,F2081,Schizophreniform disorder,87_1,
2704,F2089,Other schizophrenia,87_1,
2705,F209,"Schizophrenia, unspecified",87_1,
2706,F21,Schizotypal disorder,90,
2707,F22,Delusional disorders,87_2,
2708,F23,Brief psychotic disorder,87_2,
2709,F24,Shared psychotic disorder,87_2,
2710,F250,"Schizoaffective disorder, bipolar type",87_1,
2711,F251,"Schizoaffective disorder, depressive type",87_1,
2712,F258,Other schizoaffective disorders,87_1,
2713,F259,"Schizoaffective disorder, unspecified",87_1,
2714,F28,Other psychotic disorder not due to a substance or known physiological condition,87_2,
2715,F29,Unspecified psychosis not due to a substance or known physiological condition,87_2,
2716,F3010,"Manic episode without psychotic symptoms, unspecified",88,
2717,F3011,"Manic episode without psychotic symptoms, mild",88,
2718,F3012,"Manic episode without psychotic symptoms, moderate",88,
2719,F3013,"Manic episode, severe, without psychotic symptoms",88,
2720,F302,"Manic episode, severe with psychotic symptoms",88,
2721,F303,Manic episode in partial remission,88,
2722,F304,Manic episode in full remission,88,
2723,F308,Other manic episodes,88,
2724,F309,"Manic episode, unspecified",88,
2725,F310,"Bipolar disorder, current episode hypomanic",88,
2726,F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified",88,
2727,F3111,"Bipolar disorder, current episode manic without psychotic features, mild",88,
2728,F3112,"Bipolar disorder, current episode manic without psychotic features, moderate",88,
2729,F3113,"Bipolar disorder, current episode manic without psychotic features, severe",88,
2730,F312,"Bipolar disorder, current episode manic severe with psychotic features",88,
2731,F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",88,
2732,F3131,"Bipolar disorder, current episode depressed, mild",88,
2733,F3132,"Bipolar disorder, current episode depressed, moderate",88,
2734,F314,"Bipolar disorder, current episode depressed, severe, without psychotic features",88,
2735,F315,"Bipolar disorder, current episode depressed, severe, with psychotic features",88,
2736,F3160,"Bipolar disorder, current episode mixed, unspecified",88,
2737,F3161,"Bipolar disorder, current episode mixed, mild",88,
2738,F3162,"Bipolar disorder, current episode mixed, moderate",88,
2739,F3163,"Bipolar disorder, current episode mixed, severe, without psychotic features",88,
2740,F3164,"Bipolar disorder, current episode mixed, severe, with psychotic features",88,
2741,F3170,"Bipolar disorder, currently in remission, most recent episode unspecified",88,
2742,F3171,"Bipolar disorder, in partial remission, most recent episode hypomanic",88,
2743,F3172,"Bipolar disorder, in full remission, most recent episode hypomanic",88,
2744,F3173,"Bipolar disorder, in partial remission, most recent episode manic",88,
2745,F3174,"Bipolar disorder, in full remission, most recent episode manic",88,
2746,F3175,"Bipolar disorder, in partial remission, most recent episode depressed",88,
2747,F3176,"Bipolar disorder, in full remission, most recent episode depressed",88,
2748,F3177,"Bipolar disorder, in partial remission, most recent episode mixed",88,
2749,F3178,"Bipolar disorder, in full remission, most recent episode mixed",88,
2750,F3181,Bipolar II disorder,88,
2751,F3189,Other bipolar disorder,88,
2752,F319,"Bipolar disorder, unspecified",88,
2753,F322,"Major depressive disorder, single episode, severe without psychotic features",88,
2754,F323,"Major depressive disorder, single episode, severe with psychotic features",88,
2755,F332,"Major depressive disorder, recurrent severe without psychotic features",88,
2756,F333,"Major depressive disorder, recurrent, severe with psychotic symptoms",88,
2757,F3481,Disruptive mood dysregulation disorder,88,
2758,F440,Dissociative amnesia,90,
2759,F441,Dissociative fugue,90,
2760,F4481,Dissociative identity disorder,90,
2761,F481,Depersonalization-derealization syndrome,90,
2762,F5000,"Anorexia nervosa, unspecified",94,
2763,F5001,"Anorexia nervosa, restricting type",94,
2764,F5002,"Anorexia nervosa, binge eating/purging type",94,
2765,F502,Bulimia nervosa,94,
2766,F531,Puerperal psychosis,87_2,
2767,F600,Paranoid personality disorder,90,
2768,F601,Schizoid personality disorder,90,
2769,F602,Antisocial personality disorder,90,
2770,F603,Borderline personality disorder,90,
2771,F604,Histrionic personality disorder,90,
2772,F605,Obsessive-compulsive personality disorder,90,
2773,F606,Avoidant personality disorder,90,
2774,F607,Dependent personality disorder,90,
2775,F6081,Narcissistic personality disorder,90,
2776,F6089,Other specific personality disorders,90,
2777,F609,"Personality disorder, unspecified",90,
2778,F840,Autistic disorder,102,
2779,F842,Rett's syndrome,103,
2780,F843,Other childhood disintegrative disorder,103,
2781,F845,Asperger's syndrome,103,
2782,F848,Other pervasive developmental disorders,103,
2783,F849,"Pervasive developmental disorder, unspecified",103,
2784,G000,Hemophilus meningitis,3,
2785,G001,Pneumococcal meningitis,3,
2786,G002,Streptococcal meningitis,3,
2787,G003,Staphylococcal meningitis,3,
2788,G008,Other bacterial meningitis,3,
2789,G009,"Bacterial meningitis, unspecified",3,
2790,G01,Meningitis in bacterial diseases classified elsewhere,3,
2791,G02,Meningitis in other infectious and parasitic diseases classified elsewhere,3,
2792,G030,Nonpyogenic meningitis,4,
2793,G031,Chronic meningitis,4,
2794,G032,Benign recurrent meningitis [Mollaret],4,
2795,G038,Meningitis due to other specified causes,4,
2796,G039,"Meningitis, unspecified",4,
2797,G0400,"Acute disseminated encephalitis and encephalomyelitis, unspecified",3,
2798,G0401,Postinfectious acute disseminated encephalitis and encephalomyelitis (postinfectious ADEM),3,
2799,G0402,"Postimmunization acute disseminated encephalitis, myelitis and encephalomyelitis",3,
2800,G041,Tropical spastic paraplegia,110,
2801,G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",3,
2802,G0430,"Acute necrotizing hemorrhagic encephalopathy, unspecified",3,
2803,G0431,Postinfectious acute necrotizing hemorrhagic encephalopathy,3,
2804,G0432,Postimmunization acute necrotizing hemorrhagic encephalopathy,3,
2805,G0439,Other acute necrotizing hemorrhagic encephalopathy,3,
2806,G0481,Other encephalitis and encephalomyelitis,3,
2807,G0482,Acute flaccid myelitis,110,
2808,G0489,Other myelitis,110,
2809,G0490,"Encephalitis and encephalomyelitis, unspecified",3,
2810,G0491,"Myelitis, unspecified",110,
2811,G053,Encephalitis and encephalomyelitis in diseases classified elsewhere,3,
2812,G054,Myelitis in diseases classified elsewhere,110,
2813,G060,Intracranial abscess and granuloma,3,
2814,G061,Intraspinal abscess and granuloma,3,
2815,G062,"Extradural and subdural abscess, unspecified",3,
2816,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,3,
2817,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,3,
2818,G10,Huntington's disease,119,
2819,G110,Congenital nonprogressive ataxia,119,
2820,G1110,"Early-onset cerebellar ataxia, unspecified",119,
2821,G1111,Friedreich ataxia,119,
2822,G1119,Other early-onset cerebellar ataxia,119,
2823,G112,Late-onset cerebellar ataxia,119,
2824,G113,Cerebellar ataxia with defective DNA repair,119,
2825,G114,Hereditary spastic paraplegia,119,
2826,G118,Other hereditary ataxias,119,
2827,G119,"Hereditary ataxia, unspecified",119,
2828,G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",111,
2829,G121,Other inherited spinal muscular atrophy,111,
2830,G1220,"Motor neuron disease, unspecified",111,
2831,G1221,Amyotrophic lateral sclerosis,111,
2832,G1222,Progressive bulbar palsy,111,
2833,G1223,Primary lateral sclerosis,111,
2834,G1224,Familial motor neuron disease,111,
2835,G1225,Progressive spinal muscle atrophy,111,
2836,G1229,Other motor neuron disease,111,
2837,G128,Other spinal muscular atrophies and related syndromes,111,
2838,G129,"Spinal muscular atrophy, unspecified",111,
2839,G130,Paraneoplastic neuromyopathy and neuropathy,115,
2840,G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease,115,
2841,G20,Parkinson's disease,119,
2842,G2111,Neuroleptic induced parkinsonism,119,
2843,G2119,Other drug induced secondary parkinsonism,119,
2844,G212,Secondary parkinsonism due to other external agents,119,
2845,G213,Postencephalitic parkinsonism,119,
2846,G214,Vascular parkinsonism,119,
2847,G218,Other secondary parkinsonism,119,
2848,G219,"Secondary parkinsonism, unspecified",119,
2849,G230,Hallervorden-Spatz disease,119,
2850,G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],119,
2851,G232,Striatonigral degeneration,119,
2852,G238,Other specified degenerative diseases of basal ganglia,119,
2853,G239,"Degenerative disease of basal ganglia, unspecified",119,
2854,G3181,Alpers disease,119,
2855,G3182,Leigh's disease,119,
2856,G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere,110,
2857,G3281,Cerebellar ataxia in diseases classified elsewhere,119,
2858,G35,Multiple sclerosis,118,
2859,G360,Neuromyelitis optica [Devic],118,
2860,G370,Diffuse sclerosis of central nervous system,118,
2861,G373,Acute transverse myelitis in demyelinating disease of central nervous system,110,
2862,G374,Subacute necrotizing myelitis of central nervous system,110,
2863,G375,Concentric sclerosis [Balo] of central nervous system,118,
2864,G40001,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus",120,
2865,G40009,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus",120,
2866,G40011,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus",120,
2867,G40019,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus",120,
2868,G40101,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus",120,
2869,G40109,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",120,
2870,G40111,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus",120,
2871,G40119,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus",120,
2872,G40201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",120,
2873,G40209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",120,
2874,G40211,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus",120,
2875,G40219,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus",120,
2876,G40301,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus",120,
2877,G40309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus",120,
2878,G40311,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus",120,
2879,G40319,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus",120,
2880,G40401,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",120,
2881,G40409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",120,
2882,G40411,"Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus",120,
2883,G40419,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus",120,
2884,G4042,Cyclin-Dependent Kinase-Like 5 Deficiency Disorder,120,
2885,G40501,"Epileptic seizures related to external causes, not intractable, with status epilepticus",120,
2886,G40509,"Epileptic seizures related to external causes, not intractable, without status epilepticus",120,
2887,G40801,"Other epilepsy, not intractable, with status epilepticus",120,
2888,G40802,"Other epilepsy, not intractable, without status epilepticus",120,
2889,G40803,"Other epilepsy, intractable, with status epilepticus",120,
2890,G40804,"Other epilepsy, intractable, without status epilepticus",120,
2891,G40811,"Lennox-Gastaut syndrome, not intractable, with status epilepticus",120,
2892,G40812,"Lennox-Gastaut syndrome, not intractable, without status epilepticus",120,
2893,G40813,"Lennox-Gastaut syndrome, intractable, with status epilepticus",120,
2894,G40814,"Lennox-Gastaut syndrome, intractable, without status epilepticus",120,
2895,G40821,"Epileptic spasms, not intractable, with status epilepticus",120,
2896,G40822,"Epileptic spasms, not intractable, without status epilepticus",120,
2897,G40823,"Epileptic spasms, intractable, with status epilepticus",120,
2898,G40824,"Epileptic spasms, intractable, without status epilepticus",120,
2899,G40833,"Dravet syndrome, intractable, with status epilepticus",120,
2900,G40834,"Dravet syndrome, intractable, without status epilepticus",120,
2901,G4089,Other seizures,120,
2902,G40901,"Epilepsy, unspecified, not intractable, with status epilepticus",120,
2903,G40909,"Epilepsy, unspecified, not intractable, without status epilepticus",120,
2904,G40911,"Epilepsy, unspecified, intractable, with status epilepticus",120,
2905,G40919,"Epilepsy, unspecified, intractable, without status epilepticus",120,
2906,G40A01,"Absence epileptic syndrome, not intractable, with status epilepticus",120,
2907,G40A09,"Absence epileptic syndrome, not intractable, without status epilepticus",120,
2908,G40A11,"Absence epileptic syndrome, intractable, with status epilepticus",120,
2909,G40A19,"Absence epileptic syndrome, intractable, without status epilepticus",120,
2910,G40B01,"Juvenile myoclonic epilepsy, not intractable, with status epilepticus",120,
2911,G40B09,"Juvenile myoclonic epilepsy, not intractable, without status epilepticus",120,
2912,G40B11,"Juvenile myoclonic epilepsy, intractable, with status epilepticus",120,
2913,G40B19,"Juvenile myoclonic epilepsy, intractable, without status epilepticus",120,
2914,G47411,Narcolepsy with cataplexy,123,
2915,G47419,Narcolepsy without cataplexy,123,
2916,G47421,Narcolepsy in conditions classified elsewhere with cataplexy,123,
2917,G47429,Narcolepsy in conditions classified elsewhere without cataplexy,123,
2918,G546,Phantom limb syndrome with pain,254,
2919,G547,Phantom limb syndrome without pain,254,
2920,G610,Guillain-Barre syndrome,115,
2921,G611,Serum neuropathy,115,
2922,G6181,Chronic inflammatory demyelinating polyneuritis,115,
2923,G6182,Multifocal motor neuropathy,115,
2924,G6189,Other inflammatory polyneuropathies,115,
2925,G619,"Inflammatory polyneuropathy, unspecified",115,
2926,G620,Drug-induced polyneuropathy,115,
2927,G621,Alcoholic polyneuropathy,115,
2928,G622,Polyneuropathy due to other toxic agents,115,
2929,G6281,Critical illness polyneuropathy,115,
2930,G6282,Radiation-induced polyneuropathy,115,
2931,G63,Polyneuropathy in diseases classified elsewhere,115,
2932,G650,Sequelae of Guillain-Barre syndrome,115,
2933,G651,Sequelae of other inflammatory polyneuropathy,115,
2934,G652,Sequelae of toxic polyneuropathy,115,
2935,G7000,Myasthenia gravis without (acute) exacerbation,115,
2936,G7001,Myasthenia gravis with (acute) exacerbation,115,
2937,G701,Toxic myoneural disorders,115,
2938,G702,Congenital and developmental myasthenia,115,
2939,G7080,"Lambert-Eaton syndrome, unspecified",115,
2940,G7081,Lambert-Eaton syndrome in disease classified elsewhere,115,
2941,G7089,Other specified myoneural disorders,115,
2942,G709,"Myoneural disorder, unspecified",115,
2943,G7100,"Muscular dystrophy, unspecified",117,
2944,G7101,Duchenne or Becker muscular dystrophy,117,
2945,G7102,Facioscapulohumeral muscular dystrophy,117,
