diagcodelvl1,diagdesclvl1
k06,Other disorders of gingiva and edentulous alveolar ridge
k08,Other disorders of teeth and supporting structures
k09,"Cysts of oral region, not elsewhere classified"
k11,Diseases of salivary glands
k12,Stomatitis and related lesions
k13,Other diseases of lip and oral mucosa
k14,Diseases of tongue
k20,Esophagitis
k21,Gastro-esophageal reflux disease
k22,Other diseases of esophagus
k23,Disorders of esophagus in diseases classified elsewhere
k25,Gastric ulcer
k26,Duodenal ulcer
k27,"Peptic ulcer, site unspecified"
k28,Gastrojejunal ulcer
k29,Gastritis and duodenitis
k30,Functional dyspepsia
k31,Other diseases of stomach and duodenum
k35,Acute appendicitis
k36,Other appendicitis
k37,Unspecified appendicitis
k38,Other diseases of appendix
k40,Inguinal hernia
k41,Femoral hernia
k42,Umbilical hernia
k43,Ventral hernia
k44,Diaphragmatic hernia
k45,Other abdominal hernia
k46,Unspecified abdominal hernia
k50,Crohn's disease [regional enteritis]
k51,Ulcerative colitis
k52,Other and unspecified noninfective gastroenteritis and colitis
k55,Vascular disorders of intestine
k56,Paralytic ileus and intestinal obstruction without hernia
k57,Diverticular disease of intestine
k58,Irritable bowel syndrome
k59,Other functional intestinal disorders
k60,Fissure and fistula of anal and rectal regions
k61,Abscess of anal and rectal regions
k62,Other diseases of anus and rectum
k63,Other diseases of intestine
k64,Hemorrhoids and perianal venous thrombosis
k65,Peritonitis
k66,Other disorders of peritoneum
k67,Disorders of peritoneum in infectious diseases classified elsewhere
k68,Disorders of retroperitoneum
k70,Alcoholic liver disease
k71,Toxic liver disease
k72,"Hepatic failure, not elsewhere classified"
k73,"Chronic hepatitis, not elsewhere classified"
k74,Fibrosis and cirrhosis of liver
k75,Other inflammatory liver diseases
k76,Other diseases of liver
k77,Liver disorders in diseases classified elsewhere
k80,Cholelithiasis
k81,Cholecystitis
k82,Other diseases of gallbladder
k83,Other diseases of biliary tract
k85,Acute pancreatitis
k86,Other diseases of pancreas
k87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
k90,Intestinal malabsorption
k91,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
k92,Other diseases of digestive system
k94,Complications of artificial openings of the digestive system
k95,Complications of bariatric procedures
l00,Staphylococcal scalded skin syndrome
l01,Impetigo
l02,"Cutaneous abscess, furuncle and carbuncle"
l03,Cellulitis and acute lymphangitis
l04,Acute lymphadenitis
l05,Pilonidal cyst and sinus
l08,Other local infections of skin and subcutaneous tissue
l10,Pemphigus
l11,Other acantholytic disorders
l12,Pemphigoid
l13,Other bullous disorders
l14,Bullous disorders in diseases classified elsewhere
l20,Atopic dermatitis
l21,Seborrheic dermatitis
l22,Diaper dermatitis
l23,Allergic contact dermatitis
l24,Irritant contact dermatitis
l25,Unspecified contact dermatitis
l26,Exfoliative dermatitis
l27,Dermatitis due to substances taken internally
l28,Lichen simplex chronicus and prurigo
l29,Pruritus
l30,Other and unspecified dermatitis
l40,Psoriasis
l41,Parapsoriasis
l42,Pityriasis rosea
l43,Lichen planus
l44,Other papulosquamous disorders
l45,Papulosquamous disorders in diseases classified elsewhere
l49,Exfoliation due to erythematous conditions according to extent of body surface involved
l50,Urticaria
l51,Erythema multiforme
l52,Erythema nodosum
l53,Other erythematous conditions
l54,Erythema in diseases classified elsewhere
l55,Sunburn
l56,Other acute skin changes due to ultraviolet radiation
l57,Skin changes due to chronic exposure to nonionizing radiation
l58,Radiodermatitis
l59,Other disorders of skin and subcutaneous tissue related to radiation
l60,Nail disorders
l62,Nail disorders in diseases classified elsewhere
l63,Alopecia areata
l64,Androgenic alopecia
l65,Other nonscarring hair loss
l66,Cicatricial alopecia [scarring hair loss]
l67,Hair color and hair shaft abnormalities
l68,Hypertrichosis
l70,Acne
l71,Rosacea
l72,Follicular cysts of skin and subcutaneous tissue
l73,Other follicular disorders
l74,Eccrine sweat disorders
l75,Apocrine sweat disorders
l76,Intraoperative and postprocedural complications of skin and subcutaneous tissue
l80,Vitiligo
l81,Other disorders of pigmentation
l82,Seborrheic keratosis
l83,Acanthosis nigricans
l84,Corns and callosities
l85,Other epidermal thickening
l86,Keratoderma in diseases classified elsewhere
l87,Transepidermal elimination disorders
l88,Pyoderma gangrenosum
l89,Pressure ulcer
l90,Atrophic disorders of skin
l91,Hypertrophic disorders of skin
l92,Granulomatous disorders of skin and subcutaneous tissue
l93,Lupus erythematosus
l94,Other localized connective tissue disorders
l95,"Vasculitis limited to skin, not elsewhere classified"
l97,"Non-pressure chronic ulcer of lower limb, not elsewhere classified"
l98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
l99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
m00,Pyogenic arthritis
m01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
m02,Postinfective and reactive arthropathies
m04,Autoinflammatory syndromes
m05,Rheumatoid arthritis with rheumatoid factor
m06,Other rheumatoid arthritis
m07,Enteropathic arthropathies
m08,Juvenile arthritis
m10,Gout
m11,Other crystal arthropathies
m12,Other and unspecified arthropathy
m13,Other arthritis
m14,Arthropathies in other diseases classified elsewhere
m15,Polyosteoarthritis
m16,Osteoarthritis of hip
m17,Osteoarthritis of knee
m18,Osteoarthritis of first carpometacarpal joint
m19,Other and unspecified osteoarthritis
m1a,Chronic gout
m20,Acquired deformities of fingers and toes
m21,Other acquired deformities of limbs
m22,Disorder of patella
m23,Internal derangement of knee
m24,Other specific joint derangements
m25,"Other joint disorder, not elsewhere classified"
m26,Dentofacial anomalies [including malocclusion]
m27,Other diseases of jaws
m30,Polyarteritis nodosa and related conditions
m31,Other necrotizing vasculopathies
m32,Systemic lupus erythematosus (SLE)
m33,Dermatopolymyositis
m34,Systemic sclerosis [scleroderma]
m35,Other systemic involvement of connective tissue
m36,Systemic disorders of connective tissue in diseases classified elsewhere
m40,Kyphosis and lordosis
m41,Scoliosis
m42,Spinal osteochondrosis
m43,Other deforming dorsopathies
m45,Ankylosing spondylitis
m46,Other inflammatory spondylopathies
m47,Spondylosis
m48,Other spondylopathies
m49,Spondylopathies in diseases classified elsewhere
m50,Cervical disc disorders
m51,"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders"
m53,"Other and unspecified dorsopathies, not elsewhere classified"
m54,Dorsalgia
m60,Myositis
m61,Calcification and ossification of muscle
m62,Other disorders of muscle
m63,Disorders of muscle in diseases classified elsewhere
m65,Synovitis and tenosynovitis
m66,Spontaneous rupture of synovium and tendon
m67,Other disorders of synovium and tendon
m70,"Soft tissue disorders related to use, overuse and pressure"
m71,Other bursopathies
m72,Fibroblastic disorders
m75,Shoulder lesions
m76,"Enthesopathies, lower limb, excluding foot"
m77,Other enthesopathies
m79,"Other and unspecified soft tissue disorders, not elsewhere classified"
m80,Osteoporosis with current pathological fracture
m81,Osteoporosis without current pathological fracture
m83,Adult osteomalacia
m84,Disorder of continuity of bone
m85,Other disorders of bone density and structure
m86,Osteomyelitis
m87,Osteonecrosis
m88,Osteitis deformans [Paget's disease of bone]
m89,Other disorders of bone
m90,Osteopathies in diseases classified elsewhere
m91,Juvenile osteochondrosis of hip and pelvis
m92,Other juvenile osteochondrosis
m93,Other osteochondropathies
m94,Other disorders of cartilage
m95,Other acquired deformities of musculoskeletal system and connective tissue
m96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified"
m97,Periprosthetic fracture around internal prosthetic joint
m99,"Biomechanical lesions, not elsewhere classified"
n00,Acute nephritic syndrome
n01,Rapidly progressive nephritic syndrome
n02,Recurrent and persistent hematuria
n03,Chronic nephritic syndrome
n04,Nephrotic syndrome
n05,Unspecified nephritic syndrome
n06,Isolated proteinuria with specified morphological lesion
n07,"Hereditary nephropathy, not elsewhere classified"
n08,Glomerular disorders in diseases classified elsewhere
n10,Acute pyelonephritis
n11,Chronic tubulo-interstitial nephritis
n12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
n13,Obstructive and reflux uropathy
n14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
n15,Other renal tubulo-interstitial diseases
n16,Renal tubulo-interstitial disorders in diseases classified elsewhere
n17,Acute kidney failure
n18,Chronic kidney disease (CKD)
n19,Unspecified kidney failure
n20,Calculus of kidney and ureter
n21,Calculus of lower urinary tract
n22,Calculus of urinary tract in diseases classified elsewhere
n23,Unspecified renal colic
n25,Disorders resulting from impaired renal tubular function
n26,Unspecified contracted kidney
n27,Small kidney of unknown cause
n28,"Other disorders of kidney and ureter, not elsewhere classified"
n29,Other disorders of kidney and ureter in diseases classified elsewhere
n30,Cystitis
n31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
n32,Other disorders of bladder
n33,Bladder disorders in diseases classified elsewhere
n34,Urethritis and urethral syndrome
n35,Urethral stricture
n36,Other disorders of urethra
n37,Urethral disorders in diseases classified elsewhere
n39,Other disorders of urinary system
n40,Benign prostatic hyperplasia
n41,Inflammatory diseases of prostate
n42,Other and unspecified disorders of prostate
n43,Hydrocele and spermatocele
n44,Noninflammatory disorders of testis
n45,Orchitis and epididymitis
n46,Male infertility
n47,Disorders of prepuce
n48,Other disorders of penis
n49,"Inflammatory disorders of male genital organs, not elsewhere classified"
n50,Other and unspecified disorders of male genital organs
n51,Disorders of male genital organs in diseases classified elsewhere
n52,Male erectile dysfunction
n53,Other male sexual dysfunction
n60,Benign mammary dysplasia
n61,Inflammatory disorders of breast
n62,Hypertrophy of breast
n63,Unspecified lump in breast
n64,Other disorders of breast
n65,Deformity and disproportion of reconstructed breast
n70,Salpingitis and oophoritis
n71,"Inflammatory disease of uterus, except cervix"
n72,Inflammatory disease of cervix uteri
n73,Other female pelvic inflammatory diseases
n74,Female pelvic inflammatory disorders in diseases classified elsewhere
n75,Diseases of Bartholin's gland
n76,Other inflammation of vagina and vulva
n77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
n80,Endometriosis
n81,Female genital prolapse
n82,Fistulae involving female genital tract
n83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
n84,Polyp of female genital tract
n85,"Other noninflammatory disorders of uterus, except cervix"
n86,Erosion and ectropion of cervix uteri
n87,Dysplasia of cervix uteri
n88,Other noninflammatory disorders of cervix uteri
n89,Other noninflammatory disorders of vagina
n90,Other noninflammatory disorders of vulva and perineum
n91,"Absent, scanty and rare menstruation"
n92,"Excessive, frequent and irregular menstruation"
n93,Other abnormal uterine and vaginal bleeding
n94,Pain and other conditions associated with female genital organs and menstrual cycle
n95,Menopausal and other perimenopausal disorders
n96,Recurrent pregnancy loss
n97,Female infertility
n98,Complications associated with artificial fertilization
n99,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
o00,Ectopic pregnancy
o01,Hydatidiform mole
o02,Other abnormal products of conception
o03,Spontaneous abortion
o04,Complications following (induced) termination of pregnancy
o07,Failed attempted termination of pregnancy
o08,Complications following ectopic and molar pregnancy
o09,Supervision of high risk pregnancy
o10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
o11,Pre-existing hypertension with pre-eclampsia
o12,Gestational [pregnancy-induced] edema and proteinuria without hypertension
o13,Gestational [pregnancy-induced] hypertension without significant proteinuria
o14,Pre-eclampsia
o15,Eclampsia
o16,Unspecified maternal hypertension
o20,Hemorrhage in early pregnancy
o21,Excessive vomiting in pregnancy
o22,Venous complications and hemorrhoids in pregnancy
o23,Infections of genitourinary tract in pregnancy
o24,"Diabetes mellitus in pregnancy, childbirth, and the puerperium"
o25,"Malnutrition in pregnancy, childbirth and the puerperium"
o26,Maternal care for other conditions predominantly related to pregnancy
o28,Abnormal findings on antenatal screening of mother
o29,Complications of anesthesia during pregnancy
o30,Multiple gestation
o31,Complications specific to multiple gestation
o32,Maternal care for malpresentation of fetus
o33,Maternal care for disproportion
o34,Maternal care for abnormality of pelvic organs
o35,Maternal care for known or suspected fetal abnormality and damage
o36,Maternal care for other fetal problems
o40,Polyhydramnios
o41,Other disorders of amniotic fluid and membranes
o42,Premature rupture of membranes
o43,Placental disorders
o44,Placenta previa
o45,Premature separation of placenta [abruptio placentae]
o46,"Antepartum hemorrhage, not elsewhere classified"
o47,False labor
o48,Late pregnancy
o60,Preterm labor
o61,Failed induction of labor
o62,Abnormalities of forces of labor
o63,Long labor
o64,Obstructed labor due to malposition and malpresentation of fetus
o65,Obstructed labor due to maternal pelvic abnormality
o66,Other obstructed labor
o67,"Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified"
o68,Labor and delivery complicated by abnormality of fetal acid-base balance
o69,Labor and delivery complicated by umbilical cord complications
o70,Perineal laceration during delivery
o71,Other obstetric trauma
o72,Postpartum hemorrhage
o73,"Retained placenta and membranes, without hemorrhage"
o74,Complications of anesthesia during labor and delivery
o75,"Other complications of labor and delivery, not elsewhere classified"
o76,Abnormality in fetal heart rate and rhythm complicating labor and delivery
o77,Other fetal stress complicating labor and delivery
o80,Encounter for full-term uncomplicated delivery
o82,Encounter for cesarean delivery without indication
o85,Puerperal sepsis
o86,Other puerperal infections
o87,Venous complications and hemorrhoids in the puerperium
o88,Obstetric embolism
o89,Complications of anesthesia during the puerperium
o90,"Complications of the puerperium, not elsewhere classified"
o91,"Infections of breast associated with pregnancy, the puerperium and lactation"
o92,Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
o94,"Sequelae of complication of pregnancy, childbirth, and the puerperium"
o98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
o99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
o9a,"Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
p00,Newborn affected by maternal conditions that may be unrelated to present pregnancy
p01,Newborn affected by maternal complications of pregnancy
p02,"Newborn affected by complications of placenta, cord and membranes"
p03,Newborn affected by other complications of labor and delivery
p04,Newborn affected by noxious substances transmitted via placenta or breast milk
p05,Disorders of newborn related to slow fetal growth and fetal malnutrition
p07,"Disorders of newborn related to short gestation and low birth weight, not elsewhere classified"
p08,Disorders of newborn related to long gestation and high birth weight
p09,Abnormal findings on neonatal screening
p10,Intracranial laceration and hemorrhage due to birth injury
p11,Other birth injuries to central nervous system
p12,Birth injury to scalp
p13,Birth injury to skeleton
p14,Birth injury to peripheral nervous system
p15,Other birth injuries
p19,Metabolic acidemia in newborn
p22,Respiratory distress of newborn
p23,Congenital pneumonia
p24,Neonatal aspiration
p25,Interstitial emphysema and related conditions originating in the perinatal period
p26,Pulmonary hemorrhage originating in the perinatal period
p27,Chronic respiratory disease originating in the perinatal period
p28,Other respiratory conditions originating in the perinatal period
p29,Cardiovascular disorders originating in the perinatal period
p35,Congenital viral diseases
p36,Bacterial sepsis of newborn
p37,Other congenital infectious and parasitic diseases
p38,Omphalitis of newborn
p39,Other infections specific to the perinatal period
p50,Newborn affected by intrauterine (fetal) blood loss
p51,Umbilical hemorrhage of newborn
p52,Intracranial nontraumatic hemorrhage of newborn
p53,Hemorrhagic disease of newborn
p54,Other neonatal hemorrhages
p55,Hemolytic disease of newborn
p56,Hydrops fetalis due to hemolytic disease
p57,Kernicterus
p58,Neonatal jaundice due to other excessive hemolysis
p59,Neonatal jaundice from other and unspecified causes
p60,Disseminated intravascular coagulation of newborn
p61,Other perinatal hematological disorders
p70,Transitory disorders of carbohydrate metabolism specific to newborn
p71,Transitory neonatal disorders of calcium and magnesium metabolism
p72,Other transitory neonatal endocrine disorders
p74,Other transitory neonatal electrolyte and metabolic disturbances
p76,Other intestinal obstruction of newborn
p77,Necrotizing enterocolitis of newborn
p78,Other perinatal digestive system disorders
p80,Hypothermia of newborn
p81,Other disturbances of temperature regulation of newborn
p83,Other conditions of integument specific to newborn
p84,Other problems with newborn
p90,Convulsions of newborn
p91,Other disturbances of cerebral status of newborn
p92,Feeding problems of newborn
p93,Reactions and intoxications due to drugs administered to newborn
p94,Disorders of muscle tone of newborn
p95,Stillbirth
p96,Other conditions originating in the perinatal period
q00,Anencephaly and similar malformations
q01,Encephalocele
q02,Microcephaly
q03,Congenital hydrocephalus
q04,Other congenital malformations of brain
q05,Spina bifida
q06,Other congenital malformations of spinal cord
q07,Other congenital malformations of nervous system
q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
q11,"Anophthalmos, microphthalmos and macrophthalmos"
q12,Congenital lens malformations
q13,Congenital malformations of anterior segment of eye
q14,Congenital malformations of posterior segment of eye
q15,Other congenital malformations of eye
q16,Congenital malformations of ear causing impairment of hearing
q17,Other congenital malformations of ear
q18,Other congenital malformations of face and neck
q20,Congenital malformations of cardiac chambers and connections
q21,Congenital malformations of cardiac septa
q22,Congenital malformations of pulmonary and tricuspid valves
q23,Congenital malformations of aortic and mitral valves
q24,Other congenital malformations of heart
q25,Congenital malformations of great arteries
q26,Congenital malformations of great veins
q27,Other congenital malformations of peripheral vascular system
q28,Other congenital malformations of circulatory system
q30,Congenital malformations of nose
q31,Congenital malformations of larynx
q32,Congenital malformations of trachea and bronchus
q33,Congenital malformations of lung
q34,Other congenital malformations of respiratory system
q35,Cleft palate
q36,Cleft lip
q37,Cleft palate with cleft lip
q38,"Other congenital malformations of tongue, mouth and pharynx"
q39,Congenital malformations of esophagus
q40,Other congenital malformations of upper alimentary tract
q41,"Congenital absence, atresia and stenosis of small intestine"
q42,"Congenital absence, atresia and stenosis of large intestine"
q43,Other congenital malformations of intestine
q44,"Congenital malformations of gallbladder, bile ducts and liver"
q45,Other congenital malformations of digestive system
q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments"
q51,Congenital malformations of uterus and cervix
q52,Other congenital malformations of female genitalia
q53,Undescended and ectopic testicle
q54,Hypospadias
q55,Other congenital malformations of male genital organs
q56,Indeterminate sex and pseudohermaphroditism
q60,Renal agenesis and other reduction defects of kidney
q61,Cystic kidney disease
q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
q63,Other congenital malformations of kidney
q64,Other congenital malformations of urinary system
q65,Congenital deformities of hip
q66,Congenital deformities of feet
q67,"Congenital musculoskeletal deformities of head, face, spine and chest"
q68,Other congenital musculoskeletal deformities
q69,Polydactyly
q70,Syndactyly
q71,Reduction defects of upper limb
q72,Reduction defects of lower limb
q73,Reduction defects of unspecified limb
q74,Other congenital malformations of limb(s)
q75,Other congenital malformations of skull and face bones
q76,Congenital malformations of spine and bony thorax
q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
q78,Other osteochondrodysplasias
q79,"Congenital malformations of musculoskeletal system, not elsewhere classified"
q80,Congenital ichthyosis
q81,Epidermolysis bullosa
q82,Other congenital malformations of skin
q83,Congenital malformations of breast
q84,Other congenital malformations of integument
q85,"Phakomatoses, not elsewhere classified"
q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
q87,Other specified congenital malformation syndromes affecting multiple systems
q89,"Other congenital malformations, not elsewhere classified"
q90,Down syndrome
q91,Trisomy 18 and Trisomy 13
q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
q93,"Monosomies and deletions from the autosomes, not elsewhere classified"
q95,"Balanced rearrangements and structural markers, not elsewhere classified"
q96,Turner's syndrome
q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
q99,"Other chromosome abnormalities, not elsewhere classified"
r00,Abnormalities of heart beat
r01,Cardiac murmurs and other cardiac sounds
r03,"Abnormal blood-pressure reading, without diagnosis"
r04,Hemorrhage from respiratory passages
r05,Cough
r06,Abnormalities of breathing
r07,Pain in throat and chest
r09,Other symptoms and signs involving the circulatory and respiratory system
r10,Abdominal and pelvic pain
r11,Nausea and vomiting
r12,Heartburn
r13,Aphagia and dysphagia
r14,Flatulence and related conditions
r15,Fecal incontinence
r16,"Hepatomegaly and splenomegaly, not elsewhere classified"
r17,Unspecified jaundice
r18,Ascites
r19,Other symptoms and signs involving the digestive system and abdomen
r20,Disturbances of skin sensation
r21,Rash and other nonspecific skin eruption
r22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
r23,Other skin changes
r25,Abnormal involuntary movements
r26,Abnormalities of gait and mobility
r27,Other lack of coordination
r29,Other symptoms and signs involving the nervous and musculoskeletal systems
r30,Pain associated with micturition
r31,Hematuria
r32,Unspecified urinary incontinence
r33,Retention of urine
r34,Anuria and oliguria
r35,Polyuria
r36,Urethral discharge
r37,"Sexual dysfunction, unspecified"
r39,Other and unspecified symptoms and signs involving the genitourinary system
r40,"Somnolence, stupor and coma"
r41,Other symptoms and signs involving cognitive functions and awareness
r42,Dizziness and giddiness
r43,Disturbances of smell and taste
r44,Other symptoms and signs involving general sensations and perceptions
r45,Symptoms and signs involving emotional state
r46,Symptoms and signs involving appearance and behavior
r47,"Speech disturbances, not elsewhere classified"
r48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
r49,Voice and resonance disorders
r50,Fever of other and unknown origin
r51,Headache
r52,"Pain, unspecified"
r53,Malaise and fatigue
r54,Age-related physical debility
r55,Syncope and collapse
r56,"Convulsions, not elsewhere classified"
r57,"Shock, not elsewhere classified"
r58,"Hemorrhage, not elsewhere classified"
r59,Enlarged lymph nodes
r60,"Edema, not elsewhere classified"
r61,Generalized hyperhidrosis
r62,Lack of expected normal physiological development in childhood and adults
r63,Symptoms and signs concerning food and fluid intake
r64,Cachexia
r65,Symptoms and signs specifically associated with systemic inflammation and infection
r68,Other general symptoms and signs
r69,"Illness, unspecified"
r70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
r71,Abnormality of red blood cells
r73,Elevated blood glucose level
r74,Abnormal serum enzyme levels
r75,Inconclusive laboratory evidence of human immunodeficiency virus [HIV]
r76,Other abnormal immunological findings in serum
r77,Other abnormalities of plasma proteins
r78,"Findings of drugs and other substances, not normally found in blood"
r79,Other abnormal findings of blood chemistry
r80,Proteinuria
r81,Glycosuria
r82,Other and unspecified abnormal findings in urine
r83,Abnormal findings in cerebrospinal fluid
r84,Abnormal findings in specimens from respiratory organs and thorax
r85,Abnormal findings in specimens from digestive organs and abdominal cavity
r86,Abnormal findings in specimens from male genital organs
r87,Abnormal findings in specimens from female genital organs
r88,Abnormal findings in other body fluids and substances
r89,"Abnormal findings in specimens from other organs, systems and tissues"
r90,Abnormal findings on diagnostic imaging of central nervous system
r91,Abnormal findings on diagnostic imaging of lung
r92,Abnormal and inconclusive findings on diagnostic imaging of breast
r93,Abnormal findings on diagnostic imaging of other body structures
r94,Abnormal results of function studies
r97,Abnormal tumor markers
r99,Ill-defined and unknown cause of mortality
s00,Superficial injury of head
s01,Open wound of head
s02,Fracture of skull and facial bones
s03,Dislocation and sprain of joints and ligaments of head
s04,Injury of cranial nerve
s05,Injury of eye and orbit
s06,Intracranial injury
s07,Crushing injury of head
s08,Avulsion and traumatic amputation of part of head
s09,Other and unspecified injuries of head
s10,Superficial injury of neck
s11,Open wound of neck
s12,Fracture of cervical vertebra and other parts of neck
s13,Dislocation and sprain of joints and ligaments at neck level
s14,Injury of nerves and spinal cord at neck level
s15,Injury of blood vessels at neck level
s16,"Injury of muscle, fascia and tendon at neck level"
s17,Crushing injury of neck
s19,Other specified and unspecified injuries of neck
s20,Superficial injury of thorax
s21,Open wound of thorax
s22,"Fracture of rib(s), sternum and thoracic spine"
s23,Dislocation and sprain of joints and ligaments of thorax
s24,Injury of nerves and spinal cord at thorax level
s25,Injury of blood vessels of thorax
s26,Injury of heart
s27,Injury of other and unspecified intrathoracic organs
s28,"Crushing injury of thorax, and traumatic amputation of part of thorax"
s29,Other and unspecified injuries of thorax
s30,"Superficial injury of abdomen, lower back, pelvis and external genitals"
s31,"Open wound of abdomen, lower back, pelvis and external genitals"
s32,Fracture of lumbar spine and pelvis
s33,Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
s34,"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level"
s35,"Injury of blood vessels at abdomen, lower back and pelvis level"
s36,Injury of intra-abdominal organs
s37,Injury of urinary and pelvic organs
s38,"Crushing injury and traumatic amputation of abdomen, lower back, pelvis and external genitals"
s39,"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals"
s40,Superficial injury of shoulder and upper arm
s41,Open wound of shoulder and upper arm
s42,Fracture of shoulder and upper arm
s43,Dislocation and sprain of joints and ligaments of shoulder girdle
s44,Injury of nerves at shoulder and upper arm level
s45,Injury of blood vessels at shoulder and upper arm level
s46,"Injury of muscle, fascia and tendon at shoulder and upper arm level"
s47,Crushing injury of shoulder and upper arm
s48,Traumatic amputation of shoulder and upper arm
s49,Other and unspecified injuries of shoulder and upper arm
s50,Superficial injury of elbow and forearm
s51,Open wound of elbow and forearm
s52,Fracture of forearm
s53,Dislocation and sprain of joints and ligaments of elbow
s54,Injury of nerves at forearm level
s55,Injury of blood vessels at forearm level
s56,"Injury of muscle, fascia and tendon at forearm level"
s57,Crushing injury of elbow and forearm
s58,Traumatic amputation of elbow and forearm
s59,Other and unspecified injuries of elbow and forearm
s60,"Superficial injury of wrist, hand and fingers"
s61,"Open wound of wrist, hand and fingers"
s62,Fracture at wrist and hand level
s63,Dislocation and sprain of joints and ligaments at wrist and hand level
s64,Injury of nerves at wrist and hand level
s65,Injury of blood vessels at wrist and hand level
s66,"Injury of muscle, fascia and tendon at wrist and hand level"
s67,"Crushing injury of wrist, hand and fingers"
s68,"Traumatic amputation of wrist, hand and fingers"
s69,"Other and unspecified injuries of wrist, hand and finger(s)"
s70,Superficial injury of hip and thigh
s71,Open wound of hip and thigh
s72,Fracture of femur
s73,Dislocation and sprain of joint and ligaments of hip
s74,Injury of nerves at hip and thigh level
s75,Injury of blood vessels at hip and thigh level
s76,"Injury of muscle, fascia and tendon at hip and thigh level"
s77,Crushing injury of hip and thigh
s78,Traumatic amputation of hip and thigh
s79,Other and unspecified injuries of hip and thigh
s80,Superficial injury of knee and lower leg
s81,Open wound of knee and lower leg
s82,"Fracture of lower leg, including ankle"
s83,Dislocation and sprain of joints and ligaments of knee
s84,Injury of nerves at lower leg level
s85,Injury of blood vessels at lower leg level
s86,"Injury of muscle, fascia and tendon at lower leg level"
s87,Crushing injury of lower leg
s88,Traumatic amputation of lower leg
s89,Other and unspecified injuries of lower leg
s90,"Superficial injury of ankle, foot and toes"
s91,"Open wound of ankle, foot and toes"
s92,"Fracture of foot and toe, except ankle"
s93,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
s94,Injury of nerves at ankle and foot level
s95,Injury of blood vessels at ankle and foot level
s96,Injury of muscle and tendon at ankle and foot level
s97,Crushing injury of ankle and foot
s98,Traumatic amputation of ankle and foot
s99,Other and unspecified injuries of ankle and foot
t07,Unspecified multiple injuries
t14,Injury of unspecified body region
t15,Foreign body on external eye
t16,Foreign body in ear
t17,Foreign body in respiratory tract
t18,Foreign body in alimentary tract
t19,Foreign body in genitourinary tract
t20,"Burn and corrosion of head, face, and neck"
t21,Burn and corrosion of trunk
t22,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
t23,Burn and corrosion of wrist and hand
t24,"Burn and corrosion of lower limb, except ankle and foot"
t25,Burn and corrosion of ankle and foot
t26,Burn and corrosion confined to eye and adnexa
t27,Burn and corrosion of respiratory tract
t28,Burn and corrosion of other internal organs
t30,"Burn and corrosion, body region unspecified"
t31,Burns classified according to extent of body surface involved
t32,Corrosions classified according to extent of body surface involved
t33,Superficial frostbite
t34,Frostbite with tissue necrosis
t36,"Poisoning by, adverse effect of and underdosing of systemic antibiotics"
t37,"Poisoning by, adverse effect of and underdosing of other systemic anti-infectives and antiparasitics"
t38,"Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified"
t39,"Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics"
t40,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]"
